gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
ARFIP2	detail/nucleolus/ARFIP2/ARFIP2-evaluation.md	True	6	Nucleoplasm (uncertain)	https://www.proteinatlas.org/ENSG00000132254-ARFIP2/subcellular	https://images.proteinatlas.org/38156/435_G5_1_red_green.jpg;https://images.proteinatlas.org/38156/435_G5_2_red_green.jpg;https://images.proteinatlas.org/38156/445_G5_3_red_green.jpg;https://images.proteinatlas.org/38156/445_G5_4_red_green.jpg;https://images.proteinatlas.org/38156/448_G5_1_red_green.jpg;https://images.proteinatlas.org/38156/448_G5_2_red_green.jpg		False			True	True
BCAS3	detail/nucleolus/BCAS3/BCAS3-evaluation.md	True	6	Nucleoli (approved)	https://www.proteinatlas.org/ENSG00000141376-BCAS3/subcellular	https://images.proteinatlas.org/57289/1432_C8_5_red_green.jpg;https://images.proteinatlas.org/57289/1432_C8_6_red_green.jpg;https://images.proteinatlas.org/57289/963_F6_1_red_green.jpg;https://images.proteinatlas.org/57289/963_F6_3_red_green.jpg;https://images.proteinatlas.org/57289/968_F6_3_red_green.jpg;https://images.proteinatlas.org/57289/968_F6_4_red_green.jpg		False			True	True
BMS1	detail/nucleolus/BMS1/BMS1-evaluation.md	True	6	Nucleoplasm (enhanced)	https://www.proteinatlas.org/ENSG00000165733-BMS1/subcellular	https://images.proteinatlas.org/36589/1887_G2_4_red_green.jpg;https://images.proteinatlas.org/36589/1887_G2_5_red_green.jpg;https://images.proteinatlas.org/36589/430_A10_1_red_green.jpg;https://images.proteinatlas.org/36589/430_A10_2_red_green.jpg;https://images.proteinatlas.org/36589/441_A10_4_red_green.jpg;https://images.proteinatlas.org/36589/441_A10_5_red_green.jpg		False			True	True
BRIX1	detail/nucleolus/BRIX1/BRIX1-evaluation.md	True	6	Nucleoli (enhanced)	https://www.proteinatlas.org/ENSG00000113460-BRIX1/subcellular	https://images.proteinatlas.org/39614/1888_G3_4_red_green.jpg;https://images.proteinatlas.org/39614/1888_G3_5_red_green.jpg;https://images.proteinatlas.org/39614/454_F11_1_red_green.jpg;https://images.proteinatlas.org/39614/454_F11_2_red_green.jpg;https://images.proteinatlas.org/39614/456_F11_1_red_green.jpg;https://images.proteinatlas.org/39614/456_F11_2_red_green.jpg		False			True	True
C2CD4A	detail/nucleolus/C2CD4A/C2CD4A-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000198535-C2CD4A/subcellular	https://images.proteinatlas.org/78864/1971_D5_1_red_green.jpg;https://images.proteinatlas.org/78864/1971_D5_2_red_green.jpg;https://images.proteinatlas.org/78864/2063_E3_2_red_green.jpg;https://images.proteinatlas.org/78864/2063_E3_3_red_green.jpg;https://images.proteinatlas.org/78864/2073_B2_1_red_green.jpg;https://images.proteinatlas.org/78864/2073_B2_3_red_green.jpg		False			True	True
C6orf89	detail/nucleolus/C6orf89/C6orf89-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000198663-C6orf89/subcellular			False			False	False
CAMKMT	detail/nucleolus/CAMKMT/CAMKMT-evaluation.md	True	0				hpa_entry_not_found	False			False	False
CD1E	detail/nucleolus/CD1E/CD1E-evaluation.md	True	6	Golgi apparatus (supported)	https://www.proteinatlas.org/ENSG00000158488-CD1E/subcellular	https://images.proteinatlas.org/57769/1970_G9_1_blue_red_green.jpg;https://images.proteinatlas.org/57769/1970_G9_2_blue_red_green.jpg;https://images.proteinatlas.org/70634/1970_A10_2_blue_red_green.jpg;https://images.proteinatlas.org/70634/1970_A10_3_blue_red_green.jpg;https://images.proteinatlas.org/70634/2027_E1_1_blue_red_green.jpg;https://images.proteinatlas.org/70634/2027_E1_6_blue_red_green.jpg		False			True	True
CEP85	detail/nucleolus/CEP85/CEP85-evaluation.md	True	6	Nucleoli (supported)	https://www.proteinatlas.org/ENSG00000130695-CEP85/subcellular	https://images.proteinatlas.org/28252/1773_C12_3_blue_red_green.jpg;https://images.proteinatlas.org/28252/1773_C12_8_blue_red_green.jpg;https://images.proteinatlas.org/28252/2120_H2_20_blue_red_green.jpg;https://images.proteinatlas.org/28252/2120_H2_30_blue_red_green.jpg;https://images.proteinatlas.org/28252/2128_E2_34_blue_red_green.jpg;https://images.proteinatlas.org/28252/2128_E2_79_blue_red_green.jpg		False			True	True
DIEXF	detail/nucleolus/DIEXF/DIEXF-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000117597-DIEXF/subcellular			False			False	False
