gene	has_hpa_url	hpa_urls	local_imgs	total_img_tags	broken	broken_srcs
ENKD1	True	https://images.proteinatlas.org/41163/534_F8_2_selected.jpg		1	False	
ENSG00000144785	True	https://images.proteinatlas.org/68007/1842_E9_61_selected.jpg		1	False	
ENSG00000256514	True	https://images.proteinatlas.org/78008/1872_F12_4_selected.jpg		1	False	
ENSG00000268870	True	https://images.proteinatlas.org/18683/1055_C9_2_selected.jpg		1	False	
ENSG00000272772	True	https://images.proteinatlas.org/53745/840_C4_1_selected.jpg		1	False	
ENSG00000272980	True	https://images.proteinatlas.org/71876/1406_B3_7_selected.jpg		1	False	
ENSG00000273217	True	https://images.proteinatlas.org/37983/758_D10_2_selected.jpg		1	False	
ENSG00000274175	True	https://images.proteinatlas.org/47832/1361_A6_9_selected.jpg		1	False	
ENSG00000274792	True	https://images.proteinatlas.org/57442/1296_D4_5_selected.jpg		1	False	
ENSG00000275869	True	https://images.proteinatlas.org/60916/1925_C6_19_cr5cd56ad920a45_selected.jpg		1	False	
ENSG00000280571	True	https://images.proteinatlas.org/47429/2161_C3_42_selected.jpg		1	False	
ENSG00000285188	True	https://images.proteinatlas.org/54218/1953_B8_6_selected.jpg		1	False	
ENSG00000285837	True	https://images.proteinatlas.org/52446/1201_D2_6_selected.jpg		1	False	
ENSG00000288637	True	https://images.proteinatlas.org/35854/569_A5_2_selected.jpg		1	False	
EP300	False			0	False	
EPS8L2	True	https://images.proteinatlas.org/41143/557_C12_2_selected.jpg		1	False	
ERC1	False			0	False	
ERCC6L	True	https://images.proteinatlas.org/50492/831_B11_3_selected.jpg		1	False	
ERVV-1	True	https://images.proteinatlas.org/76115/1968_B4_3_selected.jpg		1	False	
ERVV-2	True	https://images.proteinatlas.org/76115/1968_B4_3_selected.jpg		1	False	
EXOC6	True	https://images.proteinatlas.org/36285/407_E9_2_selected.jpg		1	False	
EXTL1	True	https://images.proteinatlas.org/10726/1986_B10_2_cr5e5e293711418_selected.jpg		1	False	
EYA3	False			0	False	
FAM117B	True	https://images.proteinatlas.org/28746/1178_F7_1_selected.jpg		1	False	
FAM161A	True	https://images.proteinatlas.org/64830/1273_G6_3_selected.jpg		1	False	
FAM184A	True	https://images.proteinatlas.org/34571/1036_A12_2_selected.jpg		1	False	
FAM186B	True	https://images.proteinatlas.org/39736/539_A10_1_selected.jpg		1	False	
FAM241B	True	https://images.proteinatlas.org/34591/428_C5_2_selected.jpg		1	False	
FANCE	False			0	False	
FBF1	True	https://images.proteinatlas.org/23677/237_G11_2_selected.jpg		1	False	
FBXO21	True	https://images.proteinatlas.org/71452/1923_D2_32_selected.jpg		1	False	
FBXO9	True	https://images.proteinatlas.org/64246/1169_D12_2_selected.jpg		1	False	
FCHO2	True	https://images.proteinatlas.org/77850/1744_C7_12_cr580488e1f2732_selected.jpg		1	False	
FCMR	True	https://images.proteinatlas.org/3910/78_A3_2_selected.jpg		1	False	
FEZF2	False			0	False	
FGF11	True	https://images.proteinatlas.org/66605/1573_C7_1_selected.jpg		1	False	
FGF23	False			0	False	
FGFR1	False			0	False	
FHDC1	True	https://images.proteinatlas.org/8603/2145_F4_74_selected.jpg		1	False	
FKBP11	True	https://images.proteinatlas.org/41709/472_E6_1_selected.jpg		1	False	
FLII	False			0	False	
FLT4	False			0	False	
FNDC3A	True	https://images.proteinatlas.org/12555/1936_E5_1_selected.jpg		1	False	
FNIP2	True	https://images.proteinatlas.org/52758/863_G10_3_selected.jpg		1	False	
FNTB	True	https://images.proteinatlas.org/62743/1246_E5_3_selected.jpg		1	False	
FRMD4B	True	https://images.proteinatlas.org/9705/2055_C3_2_selected.jpg		1	False	
FRMD8	True	https://images.proteinatlas.org/2861/93_B11_1_selected.jpg		1	False	
G6PD	False			0	False	
GAPDHS	False			0	False	
GAS6	False			0	False	
GATD3	True	https://images.proteinatlas.org/18517/1081_C3_1_selected.jpg		1	False	
GINS4	True	https://images.proteinatlas.org/61075/1138_C9_2_selected.jpg		1	False	
GKAP1	True	https://images.proteinatlas.org/35118/1834_D6_2_selected.jpg		1	False	
GLI2	False			0	False	
GLP1R	False			0	False	
GLT8D1	True	https://images.proteinatlas.org/8808/1891_E5_24_cr5ba0baf2acf9e_selected.jpg		1	False	
GNAI1	False			0	False	
GNAI3	False			0	False	
GNB5	False			0	False	
GOLGA6A	True	https://images.proteinatlas.org/72134/1968_G6_6_selected.jpg		1	False	
GOLGA6B	True	https://images.proteinatlas.org/72134/1968_G6_6_selected.jpg		1	False	
GOLGA6C	True	https://images.proteinatlas.org/72134/1968_G6_6_selected.jpg		1	False	
GOLGA6D	True	https://images.proteinatlas.org/72134/1968_G6_6_selected.jpg		1	False	
GPAA1	True	https://images.proteinatlas.org/77224/1615_D4_7_selected.jpg		1	False	
GPR162	True	https://images.proteinatlas.org/55135/874_F2_4_selected.jpg		1	False	
GPR174	True	https://images.proteinatlas.org/58306/2010_D1_4_selected.jpg		1	False	
GPSM2	False			0	False	
GRAP	False			0	False	
GRAPL	True	https://images.proteinatlas.org/66654/1407_C1_5_selected.jpg		1	False	
GRB2	False			0	False	
GTSE1	False			0	False	
GVQW3	True	https://images.proteinatlas.org/57405/1338_F4_1_selected.jpg		1	False	
GYG2	True	https://images.proteinatlas.org/64686/1269_E9_1_selected.jpg		1	False	
HAUS1	True	https://images.proteinatlas.org/40601/1773_E4_2_selected.jpg		1	False	
HAUS2	True	https://images.proteinatlas.org/39965/460_E11_1_selected.jpg		1	False	
HAUS6	True	https://images.proteinatlas.org/20965/178_C10_1_selected.jpg		1	False	
HAUS7	True	https://images.proteinatlas.org/3614/57_B7_1_selected.jpg		1	False	
HDAC6	False			0	False	
HIPK1	True	https://images.proteinatlas.org/16664/131_E7_2_selected.jpg		1	False	
HK2	False			0	False	
HMMR	False			0	False	
HMX3	True	https://images.proteinatlas.org/69659/1352_A9_6_selected.jpg		1	False	
HNMT	False			0	False	
HOOK3	True	https://images.proteinatlas.org/24756/230_A8_1_selected.jpg		1	False	
HORMAD2	True	https://images.proteinatlas.org/43880/1944_B9_4_selected.jpg		1	False	
HOXB4	False			0	False	
HSPA4L	True	https://images.proteinatlas.org/39149/722_H1_2_selected.jpg		1	False	
HSPBP1	True	https://images.proteinatlas.org/70398/1872_H4_36_selected.jpg		1	False	
ID2	False			0	False	
IFT43	True	https://images.proteinatlas.org/3438/2120_D1_18_selected.jpg		1	False	
IFT57	True	https://images.proteinatlas.org/35515/2201_D8_31_selected.jpg		1	False	
IFT74	True	https://images.proteinatlas.org/26684/2121_A9_21_selected.jpg		1	False	
IFT81	True	https://images.proteinatlas.org/20051/183_C10_1_selected.jpg		1	False	
IFT88	False			0	False	
IL1RN	False			0	False	
IL4R	False			0	False	
ILRUN	True	https://images.proteinatlas.org/34490/601_E3_1_selected.jpg		1	False	
INPP1	True	https://images.proteinatlas.org/36698/450_F10_2_selected.jpg		1	False	
INPP4B	False			0	False	
INSR	False			0	False	
INTS6L	True	https://images.proteinatlas.org/30747/1001_C12_2_selected.jpg		1	False	
INVS	False			0	False	
IQSEC1	True	https://images.proteinatlas.org/69864/1949_H11_3_selected.jpg		1	False	
ISM2	False			0	False	
ITGB6	False			0	False	
ITPRIPL2	True	https://images.proteinatlas.org/42011/1168_H1_1_selected.jpg		1	False	
IVL	False			0	False	
JADE1	True	https://images.proteinatlas.org/72897/1968_G8_4_selected.jpg		1	False	
KATNA1	True	https://images.proteinatlas.org/36207/389_C12_2_selected.jpg		1	False	
KATNAL1	True	https://images.proteinatlas.org/39759/2173_C10_1_selected.jpg		1	False	
KATNIP	True	https://images.proteinatlas.org/35090/2201_B8_75_selected.jpg		1	False	
KCNH5	False			0	False	
KCTD1	True	https://images.proteinatlas.org/57808/1117_F7_16_selected.jpg		1	False	
KCTD16	True	https://images.proteinatlas.org/44590/2217_F10_13_selected.jpg		1	False	
KCTD4	True	https://images.proteinatlas.org/40734/420_C8_5_selected.jpg		1	False	
KEAP1	False			0	False	
KIAA0753	True	https://images.proteinatlas.org/23057/222_D10_1_selected.jpg		1	False	
KIF19	True	https://images.proteinatlas.org/43638/559_D11_3_selected.jpg		1	False	
