gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
CIC	研究很少	False	False	False	False	OK	missing	0	0	True	
CIDEC	Sheet1	False	False	False	False	OK	missing	0	0	True	
CIITA	研究很少	False	False	False	False	OK	missing	0	0	True	
CIP2A	Sheet1	False	False	False	False	OK	missing	0	0	True	
CKS1B	研究很少	False	False	False	False	OK	missing	0	0	True	
CKS2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CLEC16A	Sheet1	False	False	False	False	OK	missing	0	0	True	
CLN6	Sheet1	False	False	False	False	OK	missing	0	0	True	
CLOCK	研究很少	False	False	False	False	OK	missing	0	0	True	
CLSPN	Sheet1	False	False	False	False	OK	missing	0	0	True	
COIL	研究很少	False	False	False	False	OK	missing	0	0	True	
COP1	研究很少	False	False	False	False	OK	missing	0	0	True	
CPA3	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRABP2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREB3	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREB3L1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREB3L2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREB3L3	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREB5	Sheet1	False	False	False	False	OK	missing	0	0	True	
CREBBP	研究很少	False	False	False	False	OK	missing	0	0	True	
CREM	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRIP1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRKL	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRTC1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRTC2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CRX	研究很少	False	False	False	False	OK	missing	0	0	True	
CRYBB2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CSE1L	Sheet1	False	False	False	False	OK	missing	0	0	True	
CSTA	Sheet1	False	False	False	False	OK	missing	0	0	True	
CSTB	Sheet1	False	False	False	False	OK	missing	0	0	True	
CTBP2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CTC1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CTNND2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CTSV	Sheet1	False	False	False	False	OK	missing	0	0	True	
CTTNBP2NL	研究很多	False	False	False	False	OK	missing	0	0	True	
CTXN1	研究很多	False	False	False	False	OK	missing	0	0	True	
CUL5	Sheet1	False	False	False	False	OK	missing	0	0	True	
CUX2	研究很少	False	False	False	False	OK	missing	0	0	True	
CYB5RL	研究很多	False	False	False	False	OK	missing	0	0	True	
CYFIP2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CYGB	Sheet1	False	False	False	False	OK	missing	0	0	True	
CYLD	Sheet1	False	False	False	False	OK	missing	0	0	True	
CYSRT1	研究很多	False	False	False	False	OK	missing	0	0	True	
Cenps	重新pa一下	False	False	False	False	OK	missing	0	0	True	
Chmp4b	重新pa一下	False	False	False	False	OK	missing	0	0	True	
DAB2	Sheet1	False	False	False	False	OK	missing	0	0	True	
