gene	is_new
CDKN2AIPNL	false
CDNF	false
CDPF1	false
CDR2	false
CDRT15L2	false
CDT1	false
CDV3	false
CDX1	false
CDX2	false
CDX4	false
CDY1B	false
CDY2B	false
CDYL	false
CDYL2	false
CEACAM19	false
CEBPA	false
CEBPB	false
CEBPD	false
CEBPE	false
CEBPG	false
CEBPZ	false
CECR2	false
CELF5	false
CEMP1	false
CENPA	false
CENPB	false
CENPBD1	false
CENPC	false
CENPE	false
CENPF	false
CENPH	false
CENPI	false
CENPK	false
CENPL	false
CENPM	false
CENPN	false
CENPO	false
CENPP	false
CENPQ	false
CENPS	false
CENPT	false
CENPU	false
CENPV	false
CENPW	false
CENPX	false
CEP112	false
CEP128	false
CEP131	false
CEP152	false
CEP162	false
CEP164	false
CEP19	false
CEP20	false
CEP250	false
CEP290	false
CEP350	false
CEP55	false
CEP57	false
CEP63	false
CEP68	false
CEP70	false
CEP76	false
CEP78	false
CEP85	false
CEP85L	false
CEPT1	false
CERCAM	false
CERKL	false
CERS2	false
CERS3	false
CERS4	false
CERS5	false
CERT1	false
CES3	false
CETN1	false
CETN2	false
CETN3	false
CFAP119	false
CFAP206	false
CFAP47	false
CFAP61	false
CFAP97D2	false
CFDP1	false
CFL1	false
CFL2	false
CFLAR	false
CGAS	false
CGGBP1	false
CGNL1	false
CGRRF1	false
CHAF1A	false
CHAF1B	false
CHCHD1	false
CHCHD6	false
CHCT1	false
CHD1L	false
CHEK1	false
CHEK2	false
CHFR	false
CHID1	false
CHM	false
CHML	false
CHMP1A	false
CHMP1B	false
CHMP2A	false
CHMP4B	false
CHMP7	false
CHN2	false
CHP2	false
CHPF2	false
CHRAC1	false
CHST1	false
CHST2	false
CHST7	false
CHTF18	false
CHTOP	false
CHUK	false
CIAO1	false
CIAO2A	false
CIAO2B	false
CIAPIN1	false
CIART	false
CIB1	false
CIBAR2	false
CIC	false
CIDEA	false
CIDEC	false
CIITA	false
CILK1	false
CILP2	false
CIMAP1D	false
CIMAP3	false
CIMIP2B	false
CIMIP2C	false
CIMIP3	false
CIMIP6	false
CINP	false
CIP2A	false
CIPC	false
CIR1	false
CIRSR	false
CITED1	false
CITED2	false
CITED4	false
CKAP2	false
CKAP2L	false
CKAP5	false
CKS1B	false
CKS2	false
CLASP1	false
CLBA1	false
CLCN4	false
CLCN6	false
CLDN15	false
CLDND2	false
CLEC16A	false
CLEC18A	false
CLEC18B	false
CLEC18C	false
CLEC19A	false
CLEC2B	false
CLGN	false
CLHC1	false
CLIC2	false
CLIC4	false
CLIC5	false
CLINT1	false
CLIP2	false
CLIP3	false
CLK1	false
CLK2	false
CLK3	false
CLK4	false
CLMN	false
CLN5	false
CLN6	false
CLNS1A	false
CLOCK	false
CLP1	false
CLP2	false
CLPB	false
CLPB2	false
CLPTM1	false
CLPTM1L	false
CLRN1	false
CLRN2	false
CLRN3	false
CLSPN	false
CLSTN2	false
CLSTN3	false
CLTA	false
CLTB	false
CLUAP1	false
CLVS1	false
CLXN	false
CLYBL	false
CMAS	false
CMBL	false
CMC1	false
CMC2	false
CMIP	false
CMPK1	false
CMSS1	false
CMTM1	false
CMTM3	false
CMTM5	false
CMTM8	false
CMYA5	false
CNBD2	false
CNDP1	false
CNDP2	false
CNEP1R1	false
CNFN1	false
CNGA2	false
CNGA4	false
CNKSR1	false
CNMD	false
CNNM1	false
CNNM3	false
CNOT1	false
CNOT10	false
CNOT11	false
CNOT2	false
CNOT6L	false
CNOT7	false
CNOT8	false
CNP	false
CNPPD1	false
CNPY1	false
CNPY2	false
CNPY3	false
CNPY4	false
CNST	false
CNTD1	false
CNTFR	false
CNTLN	false
CNTNAP1	false
CNTNAP5	false
COA3	false
COA4	false
COA5	false
COA6	false
COA7	false
COG1	false
COG2	false
COG3	false
COG5	false
COG6	false
COG7	false
COG8	false
COIL	false
COLCA2	false
COLGALT2	false
COMMD1	false
COMMD10	false
COMMD2	false
COMMD3	false
COMMD4	false
COMMD5	false
COMMD6	false
COMMD8	false
COMMD9	false
COMTD1	false
COP1	false
COPG1	false
COPRS	false
COPS2	false
COPS3	false
COPS4	false
COPS5	false
COPS6	false
COPS7A	false
COPS7B	false
COPS8	false
COPS9	false
COQ10A	false
COQ10B	false
COQ2	false
COQ3	false
COQ4	false
COQ5	false
COQ6	false
COQ7	false
COQ8A	false
COQ8B	false
COQ9	false
CORO1A	false
CORO1C	false
COTL1	false
COX14	false
COX15	false
COX16	false
COX17	false
COX18	false
COX19	false
COX20	false
COX6B1	false
COX7A1	false
COX7A2	false
COX7C	false
COX8A	false
CPA3	false
CPA4	false
CPAMD8	false
CPEB4	false
CPED1	false
CPHXL	false
CPHXL2	false
CPLANE2	false
CPLX1	false
CPLX2	false
CPLX3	false
CPNE1	false
CPNE2	false
CPNE3	false
CPNE4	false
CPNE5	false
CPNE7	false
CPSF1	false
CPSF2	false
CPSF3	false
CPSF3L	false
CPSF4	false
CPSF6	false
CPSF7	false
CPT1C	false
CPT2	false
CPTP	false
CPVL	false
CRABP2	false
CRACD	false
CRACR2A	false
CRACR2B	false
CRADD	false
CRAMP1	false
CRBN	false
CRBNP	false
CRCP	false
CREB1	false
CREB3	false
CREB3L1	false
