gene	status	category	score	nuclear_score	source_table_status	source_table_category	report_path	docs_report_path	category_page	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	duplicate_count	duplicate_type	is_primary_candidate	known_backlog_flags	parse_quality	parse_notes
RBPJL	scored	chromatin	1.5	32			detail/chromatin/RBPJL/RBPJL-evaluation.md	reports/RBPJL.html	category/chromatin.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
RTF2	scored	chromatin	100	2			detail/chromatin/RTF2/RTF2-evaluation.md	reports/RTF2.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SAMD1	scored	chromatin	1.5	28			detail/chromatin/SAMD1/SAMD1-evaluation.md	reports/SAMD1.html	category/chromatin.html	212	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SEM1	scored	chromatin	0	16			detail/chromatin/SEM1/SEM1-evaluation.md	reports/SEM1.html	category/chromatin.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SEPHS1	scored	chromatin	5	16			detail/chromatin/SEPHS1/SEPHS1-evaluation.md	reports/SEPHS1.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SETMAR	scored	chromatin	1.83	5			detail/chromatin/SETMAR/SETMAR-evaluation.md	reports/SETMAR.html	category/chromatin.html	115	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SGF29	scored	chromatin	100	1			detail/chromatin/SGF29/SGF29-evaluation.md	reports/SGF29.html	category/chromatin.html	182	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SGTA	scored	chromatin	98	1			detail/chromatin/SGTA/SGTA-evaluation.md	reports/SGTA.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SHLD1	scored	chromatin	1	1			detail/chromatin/SHLD1/SHLD1-evaluation.md	reports/SHLD1.html	category/chromatin.html	208	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SLFN5	scored	chromatin	0	16			detail/chromatin/SLFN5/SLFN5-evaluation.md	reports/SLFN5.html	category/chromatin.html	187	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
