gene	current_path	status	lines	final_score	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	rejection_reason	risk_level	recommended_action	reason
Fcor	detail/rejected/Fcor/Fcor-evaluation.md	rejected	162	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
GABARAPL2	detail/rejected/GABARAPL2/GABARAPL2-evaluation.md	rejected	184	N/A	N/A	False	False	False	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
GFPT1	detail/rejected/GFPT1/GFPT1-evaluation.md	rejected	178	N/A	N/A	False	False	False	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
GGA1	detail/rejected/GGA1/GGA1-evaluation.md	rejected	184	N/A	N/A	False	False	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=True thin=False
GGN	detail/rejected/GGN/GGN-evaluation.md	rejected	177	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
GRK3	detail/rejected/GRK3/GRK3-evaluation.md	rejected	178	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
HDX	detail/rejected/HDX/HDX-evaluation.md	rejected	172	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
HERC2	detail/rejected/HERC2/HERC2-evaluation.md	rejected	183	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
HSD3B1	detail/rejected/HSD3B1/HSD3B1-evaluation.md	rejected	184	N/A	N/A	False	False	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=True thin=False
HSD3B2	detail/rejected/HSD3B2/HSD3B2-evaluation.md	rejected	184	N/A	N/A	False	False	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=True thin=False
