gene	category	status	lines	risk	modified_today	issues	issue_count
BRICD5	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
BTBD6	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON	5
BTBD9	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON	5
CCDC138	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC149	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC150	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC152	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC171	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC175	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC18	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC181	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC183	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC24	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC27	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC34	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC69	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC7	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC71	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCDC74B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CCSER2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CIMIP2C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CIMIP6	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CLBA1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CLDND2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CLHC1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CMTM1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CNBD2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CNGA4	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CPLANE2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CRYBG2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CTTNBP2NL	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CTXN1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CXorf58	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CYB5RL	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
CYSRT1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DALRD3	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DBNDD1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DBNDD2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DCAKD	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
