gene	cat	status	length	priority	issues_count	issues
NSMF	rejected	rejected	805	MED	1	REJ_NO_CLEAR_REASON
NT5DC1	rejected	rejected	2292	OK	0	OK
NTRK3	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
NUAK1	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
NUCKS1	rejected	rejected	868	MED	1	REJ_NO_CLEAR_REASON
NUDCD2	rejected	rejected	744	MED	1	REJ_NO_CLEAR_REASON
NUF2	rejected	rejected	825	MED	1	REJ_NO_CLEAR_REASON
NUMA1	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
NUPR1	rejected	rejected	829	MED	1	REJ_NO_CLEAR_REASON
NUSAP1	rejected	rejected	786	MED	1	REJ_NO_CLEAR_REASON
NUTM1	rejected	rejected	821	MED	1	REJ_NO_CLEAR_REASON
Ncbp2	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Nsun5	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
OAS3	rejected	rejected	3941	MED	1	REJ_WITH_NUKE_HPA
OASL	rejected	rejected	4239	MED	1	REJ_WITH_NUKE_HPA
OFD1	rejected	rejected	837	MED	1	REJ_NO_CLEAR_REASON
OGA	rejected	rejected	747	MED	1	REJ_NO_CLEAR_REASON
OGFOD2	rejected	rejected	2319	OK	0	OK
OGFOD3	rejected	rejected	2111	OK	0	OK
OGG1	rejected	rejected	805	MED	1	REJ_NO_CLEAR_REASON
OIP5	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
OLIG1	rejected	rejected	779	MED	1	REJ_NO_CLEAR_REASON
ONECUT1	rejected	rejected	798	MED	1	REJ_NO_CLEAR_REASON
ONECUT2	rejected	rejected	798	MED	1	REJ_NO_CLEAR_REASON
OSBP	rejected	rejected	763	MED	1	REJ_NO_CLEAR_REASON
OSMR	rejected	rejected	759	MED	1	REJ_NO_CLEAR_REASON
OSR1	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
OSR2	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
OTP	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
OTX1	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
Obox1	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Obox3	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Obox4	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Obox5	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
PA2G4	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
PADI4	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
PAFAH1B1	rejected	rejected	884	MED	1	REJ_NO_CLEAR_REASON
PAK2	rejected	rejected	887	OK	0	OK
PALB2	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
PAPOLA	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
PARG	rejected	rejected	887	OK	0	OK
PARK7	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
PARN	rejected	rejected	824	MED	1	REJ_NO_CLEAR_REASON
PASK	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
PAWR	rejected	rejected	799	MED	1	REJ_NO_CLEAR_REASON
PAX1	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
PAX4	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
PAX9	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
PBX2	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
PBX3	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
PDLIM2	rejected	rejected	758	MED	1	REJ_NO_CLEAR_REASON
PDXK	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
PEA15	rejected	rejected	787	MED	1	REJ_NO_CLEAR_REASON
PEG10	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
PELP1	rejected	rejected	839	MED	1	REJ_NO_CLEAR_REASON
PEPD	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
PES1	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
PFKL	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
PHF1	rejected	rejected	887	OK	0	OK
PHF21A	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
PHGDH	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
PHLDA1	rejected	rejected	847	MED	1	REJ_NO_CLEAR_REASON
PHLDA2	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
PHLPP1	rejected	rejected	895	OK	0	OK
PHLPP2	rejected	rejected	800	MED	1	REJ_NO_CLEAR_REASON
PHOX2A	rejected	rejected	793	MED	1	REJ_NO_CLEAR_REASON
PIK3R3	rejected	rejected	790	MED	1	REJ_NO_CLEAR_REASON
PIM1	rejected	rejected	887	OK	0	OK
PIN1	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
PINX1	rejected	rejected	837	MED	1	REJ_NO_CLEAR_REASON
PITX3	rejected	rejected	816	MED	1	REJ_NO_CLEAR_REASON
PKM	rejected	rejected	883	OK	0	OK
PKMYT1	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
PKNOX1	rejected	rejected	792	MED	1	REJ_NO_CLEAR_REASON
PKP2	rejected	rejected	752	MED	1	REJ_NO_CLEAR_REASON
PLA2G4A	rejected	rejected	835	MED	1	REJ_NO_CLEAR_REASON
PLA2G4D	rejected	rejected	779	MED	1	REJ_NO_CLEAR_REASON
PLCB1	rejected	rejected	790	MED	1	REJ_NO_CLEAR_REASON
PLCG2	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
PLK1	rejected	rejected	887	OK	0	OK
PLK2	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
PLOD2	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
PLSCR1	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
PMM2	rejected	rejected	758	MED	1	REJ_NO_CLEAR_REASON
PNKP	rejected	rejected	814	MED	1	REJ_NO_CLEAR_REASON
PNN	rejected	rejected	779	MED	1	REJ_NO_CLEAR_REASON
POU1F1	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
POU2AF1	rejected	rejected	832	MED	1	REJ_NO_CLEAR_REASON
