gene	category	status	lines	is_thin	is_one_liner	has_packet_error	has_template	risk	missing_fields	issues
CCDC149	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KLHL35	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
ERLN	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
NBPF6	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
LCA5L	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
WDR86	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TMTC1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FNDC11	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CCDC74B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CCDC171	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BRDT	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
EFCAB14	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CLHC1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KLHL32	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TSPAN31	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
MAGEB17	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BRAP	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CYFIP2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM76A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BTG2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
POFUT4	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KIAA1586	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
ELMOD2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DLL3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
C1GALT1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SRARP	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PMFBP1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DDAH1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PCMTD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
EVA1B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM161B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
EEF1B2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
UMAD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
RIMOC1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PRTFDC1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BCL3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PELI3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
MEA1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CCDC183	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TTC31	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
EFCAB12	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CLEC16A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CPLANE2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BIRC3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TTLL2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DCK	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SUSD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KIAA1143	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DCTN1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
C1orf162	rejected	rejected	11	True	False	True	False	CRITICAL	HPA,PubMed,AlphaFold/pLDDT,PDB,PPI	THIN,PACKET_ERROR,THIN_REJECTED
CSE1L	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PLEKHG1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DFFB	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
PLPPR2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
ESPNL	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KCTD11	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DALRD3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
S100Z	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TBC1D10C	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM124A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
WDR27	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CA13	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM229B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
VOPP1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CYGB	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
RAB3GAP1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TRIM51	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KIAA1755	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
KLHL42	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TEX13C	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
GCNT7	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
WDCP	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM228A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
