gene	file_count	paths	categories
SENP8	2	detail/rejected/SENP8/SENP8-evaluation.md, detail/nucleoplasm/SENP8/SENP8-evaluation.md	rejected, nucleoplasm
SEPHS2	2	detail/rejected/SEPHS2/SEPHS2-evaluation.md, detail/nucleoplasm/SEPHS2/SEPHS2-evaluation.md	rejected, nucleoplasm
SEPTIN10	2	detail/rejected/SEPTIN10/SEPTIN10-evaluation.md, detail/nucleoplasm/SEPTIN10/SEPTIN10-evaluation.md	rejected, nucleoplasm
SEPTIN3	2	detail/rejected/SEPTIN3/SEPTIN3-evaluation.md, detail/nucleoplasm/SEPTIN3/SEPTIN3-evaluation.md	rejected, nucleoplasm
SEPTIN6	2	detail/rejected/SEPTIN6/SEPTIN6-evaluation.md, detail/nucleoplasm/SEPTIN6/SEPTIN6-evaluation.md	rejected, nucleoplasm
SEPTIN7	2	detail/rejected/SEPTIN7/SEPTIN7-evaluation.md, detail/nucleoplasm/SEPTIN7/SEPTIN7-evaluation.md	rejected, nucleoplasm
SERF1A	2	detail/rejected/SERF1A/SERF1A-evaluation.md, detail/nucleoplasm/SERF1A/SERF1A-evaluation.md	rejected, nucleoplasm
SERF1B	2	detail/rejected/SERF1B/SERF1B-evaluation.md, detail/nucleoplasm/SERF1B/SERF1B-evaluation.md	rejected, nucleoplasm
SERGEF	2	detail/rejected/SERGEF/SERGEF-evaluation.md, detail/nucleoplasm/SERGEF/SERGEF-evaluation.md	rejected, nucleoplasm
SERPINB10	2	detail/rejected/SERPINB10/SERPINB10-evaluation.md, detail/nucleoplasm/SERPINB10/SERPINB10-evaluation.md	rejected, nucleoplasm
SERPINB13	2	detail/rejected/SERPINB13/SERPINB13-evaluation.md, detail/nucleoplasm/SERPINB13/SERPINB13-evaluation.md	rejected, nucleoplasm
